Word,Count,Files,First Location
"danh",879,224,"25_dai_brse_year1/t08_hizashi_v1_prep/t08_HizashiV1Prep_HoiThoai.md:30"
"xong",867,360,"03_meeting/README.md:16"
"review",847,218,"04_horenso/README.md:46"
"quy",841,214,"reading_collection/n3_advanced_drafts/N3_ADV_PLAN.md:52"
"ghi",833,283,"02_phone/README.md:76"
"Osaka",820,189,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:1"
"team",803,187,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:3"
"quen",800,184,"25_dai_brse_year1/t06_hana_obon_VN/t06_HanaObonVN_HoiThoai.md:49"
"Sonkeigo",800,18,"11_jisshusei_shokuhin/t05_furyou_hin/t05_FuryouHin_LyThuyet.md:33"
"Sau",799,332,"04_horenso/README.md:46"
"single",768,51,"22_dai_daigaku_year2/t08_mobile_flutter/t08_MobileFlutter_HoiThoai.md:8"
"CTO",766,180,"25_dai_brse_year1/t02_hizashi_office_setup/t02_HizashiOfficeSetup_HoiThoai.md:3"
"question_type",760,26,"11_jisshusei_shokuhin/t04_line_operation/t04_line_operation_BaiTap.json:1"
"vui",759,190,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:119"
"type",759,74,"25_dai_brse_year1/_pipeline/08_revision_log.md:45"
"thi",748,207,"25_dai_brse_year1/_pipeline/07_council/domain_expert.md:14"
"Ghi",740,295,"reading_collection/n3_advanced_drafts/N3_ADV_PLAN.md:287"
"email",738,204,"01_email/README.md:3"
"selection_type",720,24,"11_jisshusei_shokuhin/t04_line_operation/t04_line_operation_BaiTap.json:1"
"skill_category",720,24,"11_jisshusei_shokuhin/t04_line_operation/t04_line_operation_BaiTap.json:1"
"CFO",717,140,"07_visit_card/output/_combined.md:382"
"Xin",702,203,"25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md:34"
"chi",701,259,"reading_collection/READING_SPEC.md:63"
"dung",697,237,"01_email/README.md:55"
"question_ja",692,332,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"mang",689,221,"25_dai_brse_year1/_pipeline/07_council/domain_expert.md:41"
"tra",688,223,"reading_collection/n3_basic_drafts/N3_BASIC_PLAN_PART2.md:446"
"Yamada",668,112,"25_dai_brse_year1/_pipeline/06_consistency.md:59"
"tip",668,37,"02_phone/nội_dung/_english_words_report.md:550"
"giao",664,223,"04_horenso/README.md:3"
"Level",662,48,"07_visit_card/output/_combined.md:4226"
"chia",655,238,"01_email/README.md:52"
"time",651,143,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:106"
"applies_to_line",646,220,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"highlight_text",646,220,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"tinh",645,155,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:130"
"level_name",630,22,"10_business_japanese/2.1.6_ukemi_shieki/2.1.6_UkemiShieki_Mogishiken.json:1"
"section",621,320,"18_thai_year5/_pipeline/07_council/domain_expert.md:74"
"Nam",614,173,"01_email/README.md:63"
"warm",599,264,"11_jisshusei_shokuhin/t11_shourai_keikaku/t11_ShouraiKeikaku_LyThuyet.md:350"
"deadline",596,147,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:3"
"check",589,215,"reading_collection/READING_SPEC.md:268"
"mua",588,106,"25_dai_brse_year1/t09_hizashi_v1_launch/t09_HizashiV1Launch_HoiThoai.md:74"
"pattern",582,162,"25_dai_brse_year1/_pipeline/06_consistency.md:52"
"line",581,155,"25_dai_brse_year1/_pipeline/06_consistency.md:18"
"nhanh",574,228,"25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md:118"
"thu",571,149,"25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md:120"
"conversation_lines",556,290,"07_visit_card/meta/STATUS.md:21"
"suy",555,144,"reading_collection/READING_SPEC.md:211"
"san",552,132,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:3"
"annotation_ids",548,221,"02_phone/meta/STATUS.md:43"
"Skill",547,22,"07_visit_card/output/_combined.md:4230"
"chung",544,213,"reading_collection/READING_SPEC.md:57"
"label_ja",543,284,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"label_vi",543,284,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"display_order",543,284,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"lai",536,120,"25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md:121"
"matsumoto",533,145,"02_phone/README.md:64"
"skill",533,362,"25_dai_brse_year1/_pipeline/05_jp_vn_review.md:22"
"meeting",530,140,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:144"
"Hana",523,72,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:65"
"mong",523,194,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:56"
"business",515,206,"01_email/README.md:64"
"purpose",515,292,"07_visit_card/output/_combined.md:2024"
"Uchi",509,20,"11_jisshusei_shokuhin/t08_iso_audit/t08_IsoAudit_LyThuyet.md:290"
"phrase_id",508,284,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"tags",507,101,"reading_collection/READING_SPEC.md:20"
"options",492,344,"11_jisshusei_shokuhin/_pipeline/10_revision_log.md:69"
"Soto",491,20,"10_business_japanese/2.1.5_uchi_soto/2.1.5_UchiSoto_LyThuyet.md:4"
"chon_dap_an",486,15,"11_jisshusei_shokuhin/_pipeline/03_draft.md:72"
"Yumi",478,89,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:116"
"vocab",477,128,"02_phone/README.md:30"
"slide",476,99,"25_dai_brse_year1/t08_hizashi_v1_prep/t08_HizashiV1Prep_HoiThoai.md:53"
"neutral",476,242,"11_jisshusei_shokuhin/t07_matsuri_seikatsu/t07_MatsuriSeikatsu_LyThuyet.md:38"
"Danh",473,65,"25_dai_brse_year1/t08_hizashi_v1_prep/t08_HizashiV1Prep_HoiThoai.md:33"
"host",471,84,"07_visit_card/output/_combined.md:385"
"duy",469,154,"reading_collection/READING_SPEC.md:109"
"Hai",468,202,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:15"
"BJT",463,129,"04_horenso/README.md:5"
"Theo",462,138,"07_visit_card/meta/mục_lục.md:43"
"junior",460,115,"04_horenso/README.md:41"
"subtopic",458,95,"reading_collection/READING_SPEC.md:19"
"bay",450,115,"25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md:3"
"title_vi",446,141,"reading_collection/READING_SPEC.md:17"
"Trung",446,110,"07_visit_card/output/_combined.md:536"
"Scenario",445,64,"07_visit_card/output/_combined.md:1280"
"process",442,123,"reading_collection/READING_SPEC.md:29"
"name",439,111,"25_dai_brse_year1/_pipeline/07_council/linguist.md:57"
"Mail",437,80,"07_visit_card/output/_combined.md:1258"
"TTS",435,109,"04_horenso/README.md:47"
"online",435,103,"25_dai_brse_year1/t09_hizashi_v1_launch/t09_HizashiV1Launch_HoiThoai.md:99"
"vocabulary",432,112,"reading_collection/READING_SPEC.md:25"
"code",431,124,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:24"
"file",428,118,"04_horenso/README.md:11"
"slow_audio",427,272,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"female",426,118,"02_phone/meta/REVIEW_FINDINGS_v1.1.md:81"
"scope",423,122,"25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md:127"
"share",423,140,"25_dai_brse_year1/t04_hizashi_v0_8_iterate/t04_HizashiV08Iterate_HoiThoai.md:53"
"bao",422,216,"25_dai_brse_year1/_pipeline/05_jp_vn_review.md:24"
"grammar",420,41,"25_dai_brse_year1/_pipeline/07_council/pedagogue.md:47"
"comprehension",414,105,"reading_collection/READING_SPEC.md:4"
"Tony",414,94,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:116"
"vai",409,154,"03_meeting/README.md:71"
"note",408,117,"25_dai_brse_year1/_pipeline/06_consistency.md:27"
"Nakamura",402,122,"07_visit_card/output/_combined.md:468"
"sentence_count",399,97,"reading_collection/READING_SPEC.md:22"
"Senior",398,119,"25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md:64"
"oogaki_sales",396,114,"03_meeting/meta/STATUS.md:48"
"level_label",393,97,"reading_collection/READING_SPEC.md:14"
"jlpt",393,97,"reading_collection/READING_SPEC.md:15"
"grammar_used",393,95,"reading_collection/READING_SPEC.md:21"
"hoa",392,87,"reading_collection/n3_advanced_drafts/N3_ADV_PLAN.md:260"
"MAJ",386,46,"25_dai_brse_year1/_pipeline/05_jp_vn_review.md:53"
"string",381,12,"reading_collection/READING_SPEC.md:109"
"reply",381,106,"25_dai_brse_year1/_pipeline/07_council/linguist.md:18"
"LINE",375,136,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:64"
"pitch",373,100,"25_dai_brse_year1/t12_year1_close_decision/t12_Year1CloseDecision_HoiThoai.md:3"
"Email",370,112,"01_email/README.md:1"
"quay",370,136,"reading_collection/READING_SPEC.md:63"
"phong",367,120,"reading_collection/n3_advanced_drafts/N3_ADV_PLAN.md:8"
"correct",364,307,"02_phone/meta/STATUS.md:152"
"analysis",363,290,"18_thai_year5/_pipeline/05_jp_vn_review.md:10"
"style",362,84,"25_dai_brse_year1/_pipeline/07_council/pedagogue.md:57"
"key_phrases",359,353,"02_phone/README.md:29"
"Inoue",357,61,"25_dai_brse_year1/_pipeline/06_consistency.md:60"
"casual",356,157,"25_dai_brse_year1/t02_hizashi_office_setup/t02_HizashiOfficeSetup_HoiThoai.md:71"
"Quy",354,167,"02_phone/README.md:43"
"Cty",352,103,"01_email/README.md:56"
"dinner",352,108,"07_visit_card/output/_combined.md:1104"
"Fix",351,61,"25_dai_brse_year1/_pipeline/06_consistency.md:19"
"Action",348,69,"07_visit_card/output/_combined.md:1228"
"agenda",342,88,"03_meeting/README.md:52"
"action",342,97,"07_visit_card/output/_combined.md:1186"
"bjt_practice",339,338,"02_phone/README.md:31"
"confirm",339,125,"25_dai_brse_year1/t09_hizashi_v1_launch/t09_HizashiV1Launch_HoiThoai.md:34"
"signal",338,85,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:159"
"HACCP",337,43,"11_jisshusei_shokuhin/t08_iso_audit/t08_IsoAudit_LyThuyet.md:60"
"HCMC",336,45,"07_visit_card/nội_dung/_front_matter.md:23"
"rule_id",333,326,"03_meeting/README.md:47"
"context",333,127,"25_dai_brse_year1/_pipeline/08_revision_log.md:20"
"rule_context",333,325,"02_phone/meta/REVIEW_FINDINGS_v1.1.md:173"
"trao",332,121,"25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md:77"
"rule_slug",331,324,"02_phone/meta/STATUS.md:43"
"conversations",331,324,"02_phone/meta/STATUS.md:43"
"body",330,81,"25_dai_brse_year1/_pipeline/06_consistency.md:17"
"Minh",326,49,"01_email/README.md:56"
"format",325,175,"03_meeting/README.md:52"
"Plan",325,61,"25_dai_brse_year1/t08_hizashi_v1_prep/t08_HizashiV1Prep_HoiThoai.md:3"
"Tuy",325,102,"25_dai_brse_year1/t07_brse_seishain_offer/t07_BrseSeishainOffer_HoiThoai.md:44"
"related_rules",324,324,"02_phone/meta/STATUS.md:43"
"Section",324,25,"11_jisshusei_shokuhin/_pipeline/02_outline.md:491"
"ben",320,93,"25_dai_brse_year1/_pipeline/06_consistency.md:61"
"Trang",319,70,"25_dai_brse_year1/t03_brse_first_project/t03_BrseFirstProject_HoiThoai.md:32"
"SSW1",319,60,"18_thai_year5/_pipeline/06_consistency.md:57"
"CRIT",318,54,"25_dai_brse_year1/_pipeline/08_revision_log.md:12"
"question_id",318,285,"23_dai_daigaku_year3/t10_architecture_design/t10_ArchitectureDesign_HoiThoai.md:28"
"mai",317,128,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:54"
"good_example",316,284,"07_visit_card/nội_dung/_schema/rule_conversation.schema.json:1"
"Notion",315,65,"25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md:116"
"follow",315,105,"07_visit_card/output/_combined.md:541"
"keigo",312,73,"04_horenso/README.md:46"
"Chi",312,107,"reading_collection/READING_SPEC.md:217"
"Aiko",310,71,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:3"
"Teineigo",308,10,"11_jisshusei_shokuhin/t05_furyou_hin/t05_FuryouHin_LyThuyet.md:32"
"coi",301,120,"25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md:38"
"khu",299,76,"reading_collection/n3_basic_drafts/N3_BASIC_PLAN_PART2.md:329"
"linh",298,99,"02_phone/README.md:63"
"Sato",298,91,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:94"
"difficulty",298,21,"11_jisshusei_shokuhin/_pipeline/10_revision_log.md:52"
"ban",297,112,"25_dai_brse_year1/t02_hizashi_office_setup/t02_HizashiOfficeSetup_HoiThoai.md:33"
"Sakurai",297,67,"18_thai_year5/t08_decision/t08_Decision_HoiThoai.md:76"
"Kawakami",295,49,"18_thai_year5/t08_decision/t08_Decision_HoiThoai.md:31"
"minh",293,129,"25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md:80"
"Saitama",293,46,"18_thai_year5/t12_5nen_closure/t12_5nenClosure_HoiThoai.md:146"
"phone",292,95,"07_visit_card/output/_combined.md:664"
"description",290,45,"23_dai_daigaku_year3/t10_architecture_design/t10_ArchitectureDesign_HoiThoai.md:28"
"items",289,87,"25_dai_brse_year1/_pipeline/08_revision_log.md:70"
"kanji",289,64,"25_dai_brse_year1/_pipeline/07_council/linguist.md:11"
"template",286,105,"03_meeting/README.md:65"
"song",284,118,"04_horenso/README.md:3"
"owner",284,52,"18_thai_year5/_pipeline/07_council/domain_expert.md:39"
"firm",284,169,"08_smalltalk/output/_combined.md:3433"
"tranh",283,99,"25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md:35"
"lines",282,70,"25_dai_brse_year1/_pipeline/06_consistency.md:23"
"rules",280,96,"04_horenso/README.md:14"
"SLA",274,51,"11_jisshusei_shokuhin/_pipeline/09_council/linguist.md:31"
"PMO",273,94,"04_horenso/README.md:18"
"LyThuyet",273,11,"11_jisshusei_shokuhin/_pipeline/08_module_mapping.md:5"
"onsite",272,58,"07_visit_card/nội_dung/_front_matter.md:7"
"fuon",271,78,"02_phone/README.md:63"
"khai",270,108,"reading_collection/READING_SPEC.md:269"
"khen",270,97,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:75"
"channel",269,45,"05_presentation/output/_combined.md:2722"
"nguy",263,72,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:21"
"tuan_leader",262,81,"02_phone/README.md:63"
"explanation_vn",261,9,"10_business_japanese/2.1.6_ukemi_shieki/2.1.6_UkemiShieki_Mogishiken.json:1"
"ngon",260,81,"25_dai_brse_year1/t06_hana_obon_VN/t06_HanaObonVN_HoiThoai.md:65"
"ROI",259,51,"25_dai_brse_year1/t12_year1_close_decision/t12_Year1CloseDecision_HoiThoai.md:142"
"flow",257,97,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:8"
"fix",255,112,"02_phone/README.md:127"
"use",255,52,"07_visit_card/output/_combined.md:5243"
"Yamato",254,46,"22_dai_daigaku_year2/t12_year2_close/t12_Year2Close_HoiThoai.md:16"
"Hou",253,30,"11_jisshusei_shokuhin/t04_line_operation/t04_LineOperation_LyThuyet.md:75"
"trade",252,30,"25_dai_brse_year1/t04_hizashi_v0_8_iterate/t04_HizashiV08Iterate_HoiThoai.md:125"
"Hokkaido",252,46,"08_smalltalk/nội_dung/_front_matter.md:47"
"lead",250,115,"25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md:46"
"json",249,91,"04_horenso/README.md:18"
"first",249,108,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:99"
"defer",249,46,"25_dai_brse_year1/_pipeline/05_jp_vn_review.md:45"
"Cho",246,134,"25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md:50"
"conversation",245,94,"03_meeting/README.md:43"
"test",244,124,"25_dai_brse_year1/t04_hizashi_v0_8_iterate/t04_HizashiV08Iterate_HoiThoai.md:32"
"Kyoto",242,50,"25_dai_brse_year1/t06_hana_obon_VN/t06_HanaObonVN_HoiThoai.md:75"
"dokkai",240,12,"11_jisshusei_shokuhin/t04_line_operation/t04_line_operation_Mogishiken.json:1"
"passage_ref",240,12,"11_jisshusei_shokuhin/t04_line_operation/t04_line_operation_Mogishiken.json:1"
"anchor",239,50,"11_jisshusei_shokuhin/_pipeline/01_research.md:69"
"intro",238,64,"07_visit_card/output/_combined.md:54"
"relationship",237,65,"25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md:148"
"draft",237,90,"25_dai_brse_year1/t03_brse_first_project/t03_BrseFirstProject_HoiThoai.md:56"
"Putra",236,50,"18_thai_year5/t02_team_lead/t02_TeamLead_HoiThoai.md:55"
"app",234,92,"02_phone/README.md:130"
"plan",234,107,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:159"
"moment",234,60,"25_dai_brse_year1/_pipeline/05_jp_vn_review.md:36"
"list",234,96,"25_dai_brse_year1/t04_hizashi_v0_8_iterate/t04_HizashiV08Iterate_HoiThoai.md:30"
"Decision",234,59,"18_thai_year5/t08_decision/t08_Decision_HoiThoai.md:1"
"scene",233,74,"25_dai_brse_year1/_pipeline/06_consistency.md:36"
"Yamamoto",233,69,"25_dai_brse_year1/_pipeline/08_revision_log.md:28"
"self",233,85,"25_dai_brse_year1/_pipeline/05_jp_vn_review.md:55"
"demo",233,60,"25_dai_brse_year1/t08_hizashi_v1_prep/t08_HizashiV1Prep_HoiThoai.md:31"
"speed_multiplier",233,121,"02_phone/nội_dung/_front_matter.md:88"
"away",233,35,"05_presentation/output/_combined.md:2313"
"khung",232,71,"02_phone/nội_dung/_english_words_report.md:404"
